company_id,person_id,company_ticker,company_name,last_name,first_name,middle_name,person_age,person_gender,is_ceo,is_chairman,is_private_firm,company_sector,company_industry,company_cfscore,total_donations,num_contributions,self_funded,total_dem_donations,total_rep_donations,percent_to_dem_donations,total_donations_2002,total_donations_2004,total_donations_2006,total_donations_2008,total_donations_2010,total_donations_2012,donations_to_incumbents,donations_to_open_seats,donations_to_challengers,donations_to_winners,donations_to_losers
4630040055,168573,AAMRQ,Amr Corp ,horton,thomas,w,50.0,M,1,1,0,Services,95,-0.116301197,130877.35,16.0,0.0,7250.0,2500.0,0.744,5480.82,9130.0,12726.0,11734.0,20601.63,56743.75,9250.0,500.0,15000.0,7750.0,1000.0
4625034651,659721,AAMRQ,Amr Corp ,bachmann,john,w,73.0,M,0,0,0,Services,95,0.456975825,299306.75,205.0,0.0,53235.0,161471.75,0.248,24150.0,48840.0,58200.0,25700.0,27131.75,29350.0,122485.0,32281.75,31600.0,114416.75,28850.0
2643862968,126922,AAMRQ,Amr Corp ,miles,michael,a,72.0,M,0,0,0,Services,95,0.888101707,1250.0,2.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,1250.0,0.0
4110316415,559316,AAMRQ,Amr Corp ,staubach,roger,t,70.0,M,0,0,0,Services,95,1.015044953,348163.84,131.0,0.0,1500.0,286775.0,0.005,32562.0,16500.0,9100.0,151500.0,43326.84,33850.0,65726.84,72875.0,15000.0,46950.0,23600.0
4622031825,544927,AAMRQ,Amr Corp ,codina,armando,m,65.0,M,0,0,0,Services,95,0.596155617,609849.0,136.0,0.0,8999.0,357000.0,0.025,32500.0,38000.0,63600.0,126200.0,30300.0,231500.0,103899.0,20300.0,65150.0,105599.0,20950.0
54130331156,592190,AAMRQ,Amr Corp ,korologos,ann,mclaughlin,70.0,F,0,0,0,Services,95,0.791560118,89550.0,52.0,0.0,3500.0,73550.0,0.045,18800.0,5000.0,2500.0,39000.0,12500.0,11750.0,15300.0,23350.0,10750.0,12500.0,9550.0
53284168252,545313,AAMRQ,Amr Corp ,rodin,judith,,67.0,F,0,0,0,Services,95,-0.629281149,4000.0,7.0,0.0,3500.0,500.0,0.875,1500.0,2500.0,0.0,0.0,0.0,0.0,2000.0,1000.0,500.0,2500.0,0.0
5533342610,601807,AAMRQ,Amr Corp ,purcell,philip,j,69.0,M,0,0,0,Services,95,0.567559716,512928.16,154.0,0.0,35250.0,425228.0,0.077,10172.96,48615.6,45361.6,24800.0,163528.0,150000.0,162928.0,41750.0,46800.0,159828.0,61150.0
4621030933,257202,AAMRQ,Amr Corp ,rose,matthew,k,52.0,M,0,0,0,Services,95,0.734770833,461224.07,130.0,0.0,32500.0,261444.97,0.111,14361.28,31735.84,67883.92,98175.91,111675.43,125541.73,136471.98,30117.0,20950.0,113145.4,27100.0
4773187986,551914,AAMRQ,Amr Corp ,robinson,ray,m,64.0,M,0,0,0,Services,95,-0.659406865,15900.0,17.0,0.0,15900.0,0.0,1.0,9300.0,3000.0,0.0,2300.0,0.0,0.0,0.0,6300.0,2000.0,1000.0,3000.0
